MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Nova Laranjeiras,"1.589,00","2.506,00",83.37,58.36,15.01,4.25,3.04,1.25,0.83,0.44,0.09,0.04,0.04,101,-25.3054,-52.5447
Nova Lima,"20.493,00","46.538,00",1255.96,879.17,226.07,64.05,45.84,18.84,12.56,6.66,1.38,0.67,0.67,2427,-19.9758,-43.8509
Nova Londrina,"4.823,00","11.665,00",307.13,214.99,55.28,15.66,11.21,4.61,3.07,1.63,0.34,0.16,0.16,413,-22.7639,-52.9868
Nova Luzitânia,"532,00","839,00",27.95,19.56,5.03,1.43,1.02,0.42,0.28,0.15,0.03,0.01,0.01,124,-20.856,-50.2617
Nova Mamoré,"1.144,00","1.791,00",59.76,41.83,10.76,3.05,2.18,0.9,0.6,0.32,0.07,0.03,0.03,100,-10.4077,-65.3346
Nova Marilândia,"4.490,00","7.358,00",230.11,161.08,41.42,11.74,8.4,3.45,2.3,1.22,0.25,0.12,0.12,79,-14.3568,-56.9696
Nova Maringá,"3.401,00","6.020,00",186.58,130.6,33.58,9.52,6.81,2.8,1.87,0.99,0.21,0.1,0.1,160,-13.0136,-57.0908
Nova Monte Verde,"2.973,00","6.088,00",173.05,121.14,31.15,8.83,6.32,2.6,1.73,0.92,0.19,0.09,0.09,200,-9.99998,-57.5261
Nova Mutum,"38.123,00","90.354,00",2388.92,1672.24,430.0,121.83,87.2,35.83,23.89,12.66,2.63,1.27,1.27,1535,-13.8374,-56.0743
Nova Módica,"456,00","989,00",27.93,19.55,5.03,1.42,1.02,0.42,0.28,0.15,0.03,0.01,0.01,53,-18.4417,-41.4984
Nova Nazaré,"398,00","632,00",20.68,14.47,3.72,1.05,0.75,0.31,0.21,0.11,0.02,0.01,0.01,41,-13.9486,-51.8002
Nova Odessa,"7.751,00","15.409,00",451.9,316.33,81.34,23.05,16.49,6.78,4.52,2.4,0.5,0.24,0.24,876,-22.7832,-47.2941
Nova Olinda,"2.106,00","3.937,00",119.1,83.37,21.44,6.07,4.35,1.79,1.19,0.63,0.13,0.06,0.06,173,-7.08415,-39.6713
Nova Olinda do Maranhão,"329,00","524,00",17.18,12.02,3.09,0.88,0.63,0.26,0.17,0.09,0.02,0.01,0.01,22,-2.84227,-45.6953
